#~~~~~~~~~~~~~~~~~~~ COPYRIGHT NOTICE ~~~~~~~~~~~~~~~~~~~#
#
# © 2008, Juliet R.C. Pulliam and Jonathan Dushoff. Some Rights Reserved.
#
# This work is Copyright Juliet R.C. Pulliam and Jonathan Dushoff 2008
# and is made available under a Creative Commons Attribution Noncommercial
# Share Alike United States 3.0 License. You are free to copy, distribute,
# and modify this work, provided that you do not use the work for
# commercial purposes, you credit the authors, and you include a copy of
# this notice.  If this work is used for academic purposes, the associated
# paper should be cited:
#
# Pulliam, JRC and Dushoff, J (2009) Ability to replicate in the cytoplasm
# predicts zoonotic transmission of livestock viruses. Journal of Infectious
# Diseases 199(4): 565-568. DOI: 10.1086/596510
#
# If you modify this work, you may distribute the resulting derivative
# work only under the same or a similar license to this one and with
# proper attribution of the original work, as stated above. To see further
# details of this license, including a link to the legal code, visit
# http://creativecommons.org/licenses/by-nc-sa/3.0/.				
#				
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#				
family	genus	species	status	human
Adenoviridae	Atadenovirus	BAdV-D	approved	N
Adenoviridae	Atadenovirus	BAdV-E	tentative	N
Adenoviridae	Atadenovirus	BAdV-F	tentative	N
Adenoviridae	Atadenovirus	OAdV-D	approved	N
Adenoviridae	Mastadenovirus	BAdV-A	approved	N
Adenoviridae	Mastadenovirus	BAdV-B	approved	N
Adenoviridae	Mastadenovirus	BAdV-C	approved	N
Adenoviridae	Mastadenovirus	GAdV-2	tentative	N
Adenoviridae	Mastadenovirus	OAdV-A	approved	N
Adenoviridae	Mastadenovirus	OAdV-B	approved	N
Adenoviridae	Mastadenovirus	OAdV-C	tentative	N
Adenoviridae	Mastadenovirus	PAdV-A	approved	N
Adenoviridae	Mastadenovirus	PAdV-B	approved	N
Adenoviridae	Mastadenovirus	PAdV-C	approved	N
Arteriviridae	Arterivirus	PRRSV	approved	N
Asfarviridae	Asfivirus	ASFV	approved	N
Astroviridae	Mamastrovirus	BAstV	approved	N
Astroviridae	Mamastrovirus	OAstV	approved	N
Astroviridae	Mamastrovirus	PAstV	approved	N
Bornaviridae	Bornavirus	BDV	approved	Y1
Bunyaviridae	Hantavirus	HTNV	approved	Y
Bunyaviridae	Hantavirus	PUUV	approved	Y
Bunyaviridae	Nairovirus	CCHFV	approved	Y
Bunyaviridae	Nairovirus	DUGV	approved	Y
Bunyaviridae	Orthobunyavirus	AKAV	approved	N
Bunyaviridae	Orthobunyavirus	BUNV	approved	Y
Bunyaviridae	Orthobunyavirus	CEV	approved	Y
Bunyaviridae	Orthobunyavirus	MANV	approved	N
Bunyaviridae	Orthobunyavirus	MDV	approved	N
Bunyaviridae	Orthobunyavirus	SATV	approved	N
Bunyaviridae	Orthobunyavirus	SHAV	approved	N
Bunyaviridae	Orthobunyavirus	SHUV	approved	N
Bunyaviridae	Phlebovirus	AMTV	tentative	N
Bunyaviridae	Phlebovirus	RVFV	approved	Y
Bunyaviridae	Phlebovirus	UUKV	approved	S
Bunyaviridae	Unassigned	GGV	tentative	Y2
Bunyaviridae	Unassigned	TRUV	tentative	Y2
Caliciviridae	Norovirus	BEC-J	tentative	S
Caliciviridae	Norovirus	BEC-N2	tentative	S
Caliciviridae	Norovirus	SNV	tentative	N
Caliciviridae	Sapovirus	PESV	tentative	N
Caliciviridae	Unassigned	BEC-NB	tentative	N
Caliciviridae	Vesivirus	VESV	approved	Y
Circoviridae	Circovirus	PCV-1	approved	N
Circoviridae	Circovirus	PCV-2	approved	N
Coronaviridae	Coronavirus	BCoV	approved	Y
Coronaviridae	Coronavirus	PEDV	approved	N
Coronaviridae	Coronavirus	PHEV	approved	N
Coronaviridae	Coronavirus	TGEV	approved	N
Coronaviridae	Torovirus	BToV	approved	N
